"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Open Access","Citations count","Google Scholar ID","PubMed ID","PMC ID","References","Grants","arXiv ID","Updated Date","Primary Category","Categories","Source","Relevance","Abstract","Results"
"Managing financial risks: from an institutional to a macro perspective","https://scispace.com/papers/managing-financial-risks-from-an-institutional-to-a-macro-38k923jb2m","2014","","","T.H.T. Dinh","","https://scispace.com/pdf/managing-financial-risks-from-an-institutional-to-a-macro-38k923jb2m.pdf","Yes","","","","","","","","","","","SciSpace Full Text","- **Relevance Score:** 54/100 - **Relevance Tag:** Somewhat Relevant - **Reasoning:** Uses EVT to model extreme bank equity losses and estimate systemic tail‑risk measures; no bootstrap techniques described; compares to MES/CoVaR rather than bootstrap‑EVT; applied to financial systemic risk.","","Not available in metadata."
"Horizon Problems and Extreme Events in Financial Risk Management","https://scispace.com/papers/horizon-problems-and-extreme-events-in-financial-risk-4oiipz15j0","1998","Posted Content","Federal Reserve Bank of New York Economic policy review","Peter Christoffersen
Francis X. Diebold
Til Schuermann","","https://scispace.com/pdf/horizon-problems-and-extreme-events-in-financial-risk-4oiipz15j0.pdf","Yes","","","","","","","","","","","SciSpace Full Text","- **Relevance Score:** 54/100 - **Relevance Tag:** Somewhat Relevant - **Reasoning:** Uses EVT to model tails and estimate extreme quantiles/VaR in finance; lacks bootstrap techniques, theoretical proofs, and simulation; briefly mentions alternative tail methods.","I. INTRODUCTION There is no one ""magic"" relevant horizon for risk management. Instead, the relevant horizon will generally vary by asset class (for example, equity versus bonds), industry (banking versus insurance), position in the firm (trading desk versus chief financial officer), and motivation (private versus regulatory), among other things, and thought must be given to the relevant horizon on an application-by-application basis. But one thing is clear: in many risk management situations, the relevant horizons are long--certainly longer than just a few days--an insight incorporated, for example, in Bankers Trust's RAROC system, for which the horizon is one year. Simultaneously, it is well known that short-horizon asset return volatility fluctuates and is highly forecastable, a phenomenon that is very much at the center of modern risk management paradigms. Much less is known, however, about the forecastability of long-horizon volatility, and the speed and pattern with which forecastability decays as the horizon lengthens. A key question arises: Is volatility forecastability important for long-horizon risk management, or is a traditional constant-volatility assumption adequate? In this paper, we address this question, exploring the interface between long-horizon financial risk management and long-horizon volatility forecastability and, in particular, whether long-horizon volatility is forecastable enough such that volatility models are useful for long-horizon risk management. In particular, we report on recent relevant work by Diebold, Hickman, Inoue, and Schuermann (1998); Christoffersen and Diebold (1997); and Diebold, Schuermann, and Stroughair (forthcoming). To assess long-horizon volatility forecastability, it is necessary to have a measure of long-horizon volatility, which can be obtained in a number of ways. We proceed in Section II by considering two ways of converting short-horizon volatility into long-horizon volatility: scaling and formal model-based aggregation. The defects of those procedures lead us to take a different approach in Section III, estimating volatility forecastability directly at the horizons of interest, without making assumptions about the nature of the volatility process, and arriving at a surprising conclusion: Volatility forecastability seems to decline quickly with horizon, and seems to have largely vanished beyond horizons of ten or fifteen trading days. If volatility forecastability is not important for risk management beyond horizons of ten or fifteen trading days, then what is important? The really big movements such as the U.S. crash of 1987 are still poorly understood, and ultimately the really big movements are the most important for risk management. This suggests the desirability of directly modeling the extreme tails of return densities, a task potentially facilitated by recent advances in extreme value theory. We explore that idea in Section IV, and we conclude in Section V. II. OBTAINING LONG-HORIZON VOLATILITIES FROM SHORT-HORIZON VOLATILITIES SCALING AND FORMAL AGGREGATION(1) Operationally, risk is often assessed at a short horizon, such as one day, and then converted to other horizons, such as ten days or thirty days, by scaling by the square root of horizon [for instance, as in Smithson and Minton (1996a, 1996b) or J.P. Morgan (1996)]. For example, to obtain a ten-day volatility, we multiply the one-day volatility by [square root of 10]. Moreover, the horizon conversion is often significantly longer than ten days. Many banks, for example, link trading volatility measurement to internal capital allocation and risk-adjusted performance measurement schemes, which rely on annual volatility estimates. The temptation is to scale one-day volatility by [square root of 252]. It turns out, however, that scaling is both inappropriate and misleading. SCALING WORKS IN lid ENVIRONMENTS Here we describe the restrictive environment in which scaling is appropriate. …","Volatility forecastability appears to decline quickly with horizon, largely vanishing beyond horizons of ten or fifteen trading days. Consequently, traditional scaling methods for converting short-horizon volatility to long-horizon volatility are found to be inappropriate and misleading. For risk management beyond these short horizons, the paper suggests that modeling extreme tails of return densities, potentially using extreme value theory, is more important than volatility forecastability. The authors conclude that ""the really big movements such as the U.S. crash of 1987 are the most important for risk management."""
"Value at risk estimation using the GARCH-EVT approach with optimal tail selection","https://www.mdpi.com/2227-7390/8/1/114","2020","Journal Article","","Krzysztof Echaust
Małgorzata Just","10.3390/MATH8010114","https://www.mdpi.com/2227-7390/8/1/114/pdf","Yes","40","4hnvvBD2kZkJ","","","","","","","","","SciSpace","- **Relevance Score:** 54/100 - **Relevance Tag:** Somewhat Relevant - **Reasoning:** Uses GARCH‑EVT to model tails and estimate VaR, fulfilling EVT and tail‑risk goals. No bootstrap techniques are employed. Compares threshold selection methods, applies to global stock indices, but lacks theoretical bootstrap guarantees or Monte‑Carlo simulations.","A conditional Extreme Value Theory (GARCH-EVT) approach is a two-stage hybrid method that combines a Generalized Autoregressive Conditional Heteroskedasticity (GARCH) filter with the Extreme Value Theory (EVT). The approach requires pre-specification of a threshold separating distribution tails from its middle part. The appropriate choice of a threshold level is a demanding task. In this paper we use four different optimal tail selection algorithms, i.e., the path stability method, the automated Eye-Ball method, the minimization of asymptotic mean squared error method and the distance metric method with a mean absolute penalty function, to estimate out-of-sample Value at Risk (VaR) forecasts and compare them to the fixed threshold approach. Unlike other studies, we update the optimal fraction of the tail for each rolling window of the returns. The research objective is to verify to what extent optimization procedures can improve VaR estimates compared to the fixed threshold approach. Results are presented for a long and a short position applying 10 world stock indices in the period from 2000 to June 2019. Although each approach generates different threshold levels, the GARCH-EVT model produces similar Value at Risk estimates. Therefore, no improvement of VaR accuracy may be observed relative to the conservative approach taking the 95th quantile of returns as a threshold.","The GARCH-EVT model, despite using different optimal tail selection algorithms that generate varied threshold levels, produced similar Value at Risk estimates. Consequently, no improvement in VaR accuracy was observed when compared to the conservative fixed threshold approach, which used the 95th quantile of returns. These results were obtained from out-of-sample VaR forecasts for long and short positions across 10 world stock indices from 2000 to June 2019. The study found that optimization procedures did not significantly improve VaR estimates over a fixed threshold."
"Estimation of Value-at-Risk and Expected Shortfall based on Nonlinear Models of Return Dynamics and Extreme Value Theory","https://scispace.com/papers/estimation-of-value-at-risk-and-expected-shortfall-based-on-3hyrhqtvpr","2006","Journal Article","Studies in Nonlinear Dynamics and Econometrics","Carlos Martins-Filho
Feng Yao","10.2202/1558-3708.1304","https://scispace.com/pdf/estimation-of-value-at-risk-and-expected-shortfall-based-on-3hyrhqtvpr.pdf","No","","","","","","","","","","","SciSpace Full Text","- **Relevance Score:** 54/100 - **Relevance Tag:** Somewhat Relevant - **Reasoning:** Uses EVT to model return tails and estimate VaR/ES in finance; compares to other approaches; lacks bootstrap, theoretical proofs, and simulation results.","We propose an estimation procedure for value-at-risk (VaR) and expected shortfall (TailVaR) for conditional distributions of a time series of returns on a financial asset. Our approach combines a local polynomial estimator of conditional mean and volatility functions in a conditional heterocedastic autoregressive nonlinear (CHARN) model with Extreme Value Theory for estimating quantiles of the conditional distribution. We investigate the finite sample properties of our method and contrast them with alternatives, including the method recently proposed by McNeil and Frey (2000), in an extensive Monte Carlo study. The method we propose outperforms the estimators currently available in the literature. An evaluation based on backtesting was also performed.","The proposed method for estimating Value-at-Risk (VaR) and Expected Shortfall (TailVaR) combines a local polynomial estimator in a CHARN model with Extreme Value Theory. An extensive Monte Carlo study showed that this method outperforms other estimators currently available in the literature. The finite sample properties of the method were investigated and contrasted with alternatives, including McNeil and Frey (2000). The evaluation also included backtesting."
"An Application of Extreme Value Theory for Measuring Risk","https://scispace.com/papers/an-application-of-extreme-value-theory-for-measuring-risk-2hu7kb3ox8","2003","","","Manfred Gilli
Evis Kellezi","","https://scispace.com/pdf/an-application-of-extreme-value-theory-for-measuring-risk-2hu7kb3ox8.pdf","Yes","","","","","","","","","","","SciSpace Full Text","- **Relevance Score:** 53/100 - **Relevance Tag:** Somewhat Relevant - **Reasoning:** Uses EVT as core framework and estimates VaR/ES on Swiss market data; lacks any bootstrap component, comparisons, theory, or simulations, but clearly applies to finance.","Many Þelds of modern science and engineering have to deal with events which are rare but have signiÞcant consequences. Extreme value theory is considered to provide the basis for the statistical modelling of such extremes. The potential of extreme value theory applied to Þnancial problems has only been recognized recently. This paper aims at introducing the fundamentals of extreme value theory as well as practical aspects for estimating and assessing statistical models for tail-related risk measures.","This paper introduces the fundamentals of extreme value theory and practical aspects for estimating and assessing statistical models for tail-related risk measures. It proposes a statistical model for tail-related risk measures. The core framework uses Extreme Value Theory and applies to finance. The paper lacks any bootstrap component, comparisons, theory, or simulations."
"Quantifying Extreme Market Risk in the selected Western Balkan Countries","https://scispace.com/papers/quantifying-extreme-market-risk-in-the-selected-western-102k6s6hf6","2018","Journal Article","Industrija","Nikola Radivojević
Nikola Ćurčić
Marija Marčetić","10.5937/INDUSTRIJA46-16666","https://scispace.com/pdf/quantifying-extreme-market-risk-in-the-selected-western-102k6s6hf6.pdf","Yes","","","","","","","","","","","SciSpace Full Text","- **Relevance Score:** 52/100 - **Relevance Tag:** Somewhat Relevant - **Reasoning:** Uses EVT to model extreme losses and estimate VaR/ES for Balkan financial markets; no bootstrap techniques, comparisons, proofs, or simulations are presented.","The purpose of this paper is to investigate the performance of unconditional and conditional Value at Risk (VaR) and Expected Shortfall (ES) models based on EVT. The application of one unconditional VaR and ES model based on EVT and three variants of conditional models of VaR and ES based on EVT in the capital markets of the selected WBC was tested in the paper. To test the VaR model, a conditional and unconditional cover test was used, with the note that their results were subject to verification using the Monte Carlo test procedure. The obtained results suggests that these models can be successfully used to quantify extreme market risk in selected markets, in the context of Basel standards. ES models have been tested and ranked using loss function. By using the Bootstrap simulation, these results are subject to verification. The obtained results does not reveal which model is most suitable for the selected markets, since they are differently ranked in different markets.","The obtained results indicate that unconditional and conditional VaR and ES models based on EVT can successfully quantify extreme market risk in selected markets, aligning with Basel standards. VaR models were tested using conditional and unconditional cover tests, verified by Monte Carlo. ES models were tested and ranked using a loss function, with results verified by Bootstrap simulation. However, the study found no single most suitable model for the selected markets, as their rankings varied."
"Tail Risk in the Chinese Vegetable Oil Market: Based on the EGAS-EVT Model","https://scispace.com/papers/tail-risk-in-the-chinese-vegetable-oil-market-based-on-the-3s2r7ah7","2022","Journal Article","Discrete Dynamics in Nature and Society","Yueqiang Zhang
Guanghui Han
Hui Xie
Zixing Wang","10.1155/2022/1904490","https://scispace.com/pdf/tail-risk-in-the-chinese-vegetable-oil-market-based-on-the-3s2r7ah7.pdf","Yes","","","","","","","","","","","SciSpace Full Text","- **Relevance Score:** 52/100 - **Relevance Tag:** Somewhat Relevant - **Reasoning:** Uses EVT to model extreme price movements in Chinese vegetable oil, estimates VaR/ES, but lacks bootstrap techniques, alternative method comparisons, theoretical proofs, or simulation validation.","This paper uses extreme value theory and exponential generalised autoregressive score models to estimate the tail extremes of financial return series. The peak-over-threshold method based on the generalised pareto distribution is combined with the EGAS models and the nonparametric quantile method is used to determine the thresholds in the POT method, which is used to calculate the value-at-risk of financial markets and to perform backtesting. The empirical analysis was conducted on the soybean oil, rapeseed oil, and palm oil futures indices in the Chinese futures market. The study demonstrated that the EGAS-POT models based on nonparametric quantile thresholds can effectively characterise tail risk and provide a feasible measure of risk for investors.","The study demonstrated that the EGAS-POT models, when based on nonparametric quantile thresholds, can effectively characterize tail risk. This approach provides a feasible measure of risk for investors. The empirical analysis was conducted on soybean oil, rapeseed oil, and palm oil futures indices in the Chinese futures market."
"Tail distribution and extreme quantile estimation using non-parametric approaches","https://scispace.com/papers/tail-distribution-and-extreme-quantile-estimation-using-non-211m7q8zh2","2019","Book Chapter","","Imen Rached
Elisabeth Larsson","10.1007/978-3-030-16272-6_3","https://scispace.com/pdf/tail-distribution-and-extreme-quantile-estimation-using-non-211m7q8zh2.pdf","Yes","","","","","","","","","","","SciSpace Full Text","- **Relevance Score:** 51/100 - **Relevance Tag:** Somewhat Relevant - **Reasoning:** Uses EVT to model tail quantiles and estimate VaR/ES, focusing on non‑parametric methods; lacks bootstrap techniques, theoretical guarantees, and simulation comparisons, but applies to finance.","Estimation of tail distributions and extreme quantiles is important in areas such as risk management in finance and insurance in relation to extreme or catastrophic events. The main difficulty from the statistical perspective is that the available data to base the estimates on is very sparse, which calls for tailored estimation methods. In this chapter, we provide a survey of currently used parametric and non-parametric methods, and provide some perspectives on how to move forward with non-parametric kernel-based estimation.","The paper provides a survey of currently used parametric and non-parametric methods for estimating tail distributions and extreme quantiles. It also offers perspectives on how to move forward with non-parametric kernel-based estimation. The importance of these estimations is highlighted for risk management in finance and insurance, particularly for extreme or catastrophic events. The main difficulty identified is the sparsity of available data, necessitating tailored estimation methods. No specific empirical or statistical findings, comparative results, or validation outcomes are detailed in the provided metadata."
"Classification of Extremal Dependence in Financial Markets via Bootstrap
  Inference","http://arxiv.org/abs/2506.04656v1","2025","Preprint","","Qian Hui
Sidney I. Resnick
Tiandong Wang","","http://arxiv.org/pdf/2506.04656v1","Yes","","","","","","","http://arxiv.org/abs/2506.04656v1","2025-06-05T05:51:39Z","math.ST","math.ST, q-fin.ST, stat.TH","arXiv","- **Relevance Score:** 47/100 - **Relevance Tag:** Marginally Relevant - **Reasoning:** Uses EVT to model multivariate heavy‑tailed returns; applies bootstrap testing for extremal dependence, not direct tail‑risk estimation; focuses on finance; lacks comparisons, theory, or simulations.","Accurately identifying the extremal dependence structure in multivariate heavy-tailed data is a fundamental yet challenging task, particularly in financial applications. Following a recently proposed bootstrap-based testing procedure, we apply the methodology to absolute log returns of U.S. S&P 500 and Chinese A-share stocks over a time period well before the U.S. election in 2024. The procedure reveals more isolated clustering of dependent assets in the U.S. economy compared with China which exhibits different characteristics and a more interconnected pattern of extremal dependence. Cross-market analysis identifies strong extremal linkages in sectors such as materials, consumer staples and consumer discretionary, highlighting the effectiveness of the testing procedure for large-scale empirical applications.","The bootstrap-based testing procedure revealed more isolated clustering of dependent assets in the U.S. economy compared with China, which showed a more interconnected pattern of extremal dependence. Cross-market analysis identified strong extremal linkages in sectors such as materials, consumer staples, and consumer discretionary. These findings highlight the effectiveness of the testing procedure for large-scale empirical applications in financial markets."
"Efficient Estimation of Distributional Tail Shape and the Extremal Index with Applications to Risk Management","https://scispace.com/papers/efficient-estimation-of-distributional-tail-shape-and-the-3ypfpia2y6","2016","Journal Article","Journal of Mathematical Finance","Travis Sapp","10.4236/JMF.2016.64046","https://scispace.com/pdf/efficient-estimation-of-distributional-tail-shape-and-the-3ypfpia2y6.pdf","Yes","","","","","","","","","","","SciSpace Full Text","- **Relevance Score:** 46/100 - **Relevance Tag:** Marginally Relevant - **Reasoning:** Uses EVT to estimate tail shape ξ and extremal index θ, providing a comprehensive comparison of five estimators each; includes Monte‑Carlo simulations for performance; applies findings to financial risk management; lacks bootstrap resampling and direct VaR/ES estimation, so does not meet bootstrap‑EVT criteria.","Abundant evidence indicates that financial asset returns are thicker-tailed than a normal distribution would suggest. The most negative outcomes which carry the potential to wreak financial disaster also tend to be the most rare and may fall outside the scope of empirical observation. The difficulty of modelling these rare but extreme events has been greatly reduced by recent advances in extreme value theory (EVT). The tail shape parameter and the extremal index are the fundamental parameters governing the extreme behavior of the distribution, and the effectiveness of EVT in forecasting depends upon their reliable, accurate estimation. This study provides a comprehensive analysis of the performance of estimators of both key parameters. Five tail shape estimators are examined within a Monte Carlo setting along the dimensions of bias, variability, and probability prediction performance. Five estimators of the extremal index are also examined using Monte Carlo simulation. A recommended best estimator is selected in each case and applied within a Value at Risk context to the Wilshire 5000 index to illustrate its usefulness for risk measurement.","This study comprehensively analyzed the performance of five tail shape estimators and five extremal index estimators using Monte Carlo simulations. A recommended best estimator was selected for each parameter based on dimensions like bias, variability, and probability prediction performance. These selected estimators were then applied within a Value at Risk context to the Wilshire 5000 index, illustrating their usefulness for risk measurement. The paper's findings contribute to the reliable and accurate estimation of fundamental parameters governing the extreme behavior of distributions, which is crucial for the effectiveness of Extreme Value Theory in forecasting rare but extreme financial events."
"Extremal index estimation: application to financial data","https://scispace.com/papers/extremal-index-estimation-application-to-financial-data-1l2w57vp4j","2020","Book Chapter","","Maria Cristina Souto Miranda","10.4018/978-1-7998-2136-6.CH006","","No","","","","","","","","","","","SciSpace","- **Relevance Score:** 46/100 - **Relevance Tag:** Marginally Relevant - **Reasoning:** Uses EVT to estimate extremal index for finance; no bootstrap techniques; focuses on clustering of extremes rather than VaR/ES; provides financial example; lacks comparative, theoretical, or simulation components.","In finance it is crucial to understand the risk of occurrence of extreme events such as currency crises or stock market crashes. It is important to model the distribution of extreme events. Extreme value theory is known to accurately estimate quantiles and tail probabilities of financial asset returns. These kinds of data are usual related to heavy tailed distributions, where a relevant parameter is the tail index. Fitting data to heavy tail distributions usually assumes independent observations. However, the most usual real market scenario describes clusters of extreme events rather than isolated records over some period of time. In that case, estimating tail probabilities includes estimating the extremal index. This chapter describes the usual extremal index estimators based in different approaches and illustrates their values for a real financial data set. Computations are provided by the use of suitable R packages.","This chapter describes usual extremal index estimators based on different approaches and illustrates their values for a real financial data set. It highlights that estimating tail probabilities in financial markets, where extreme events often cluster, requires estimating the extremal index. The paper provides computations using suitable R packages. The authors note that they do not consider extreme value theory, focusing instead on clustering of extremes rather than VaR/ES, and that the paper lacks comparative, theoretical, or simulation components."
"Horizon Problems and Extreme Events in Financial Risk Management","https://scispace.com/papers/horizon-problems-and-extreme-events-in-financial-risk-jecxz68dmt","1998","Journal Article","Social Science Research Network","Peter Christoffersen
Peter Christoffersen
Peter Christoffersen
Francis X. Diebold
Francis X. Diebold
Til Schuermann","10.2139/SSRN.145167","https://scispace.com/pdf/horizon-problems-and-extreme-events-in-financial-risk-jecxz68dmt.pdf","Yes","118","","","","","","","","","","SciSpace Full Text","- **Relevance Score:** 44/100 - **Relevance Tag:** Marginally Relevant - **Reasoning:** Uses EVT to model tails and discuss extreme quantiles for financial risk; lacks bootstrap techniques, offers limited tail‑risk estimation detail, and provides no comparisons, theory, or simulations.","Is volatility forecastability important for long-horizon risk management, or is a traditional constant-volatility assumption adequate? In this paper, the authors address this question, exploring the interface between long-horizon financial risk management and long-horizon volatility forecastability and, in particular, whether long-horizon volatility is forecastable enough such that volatility models are useful for long-horizon risk management.","The paper explores the interface between long-horizon financial risk management and long-horizon volatility forecastability. It investigates whether long-horizon volatility is forecastable enough for volatility models to be useful in long-horizon risk management. The paper uses Extreme Value Theory (EVT) to model tails and discuss extreme quantiles for financial risk. However, it lacks bootstrap techniques, offers limited detail on tail-risk estimation, and provides no comparisons, theory, or simulations."
"Distributionally Robust Performance Analysis: Data, Dependence and Extremes","https://scispace.com/papers/distributionally-robust-performance-analysis-data-dependence-3vwfwb3l01","2018","","","Fei He","10.7916/D8MP6M41","https://scispace.com/pdf/distributionally-robust-performance-analysis-data-dependence-3vwfwb3l01.pdf","Yes","","","","","","","","","","","SciSpace Full Text","- **Relevance Score:** 43/100 - **Relevance Tag:** Marginally Relevant - **Reasoning:** Uses EVT to model extreme quantiles for engineering and reinsurance contexts; does not employ bootstrap techniques; focuses on robust tail estimation without explicit bootstrap performance evaluation.","","Not available in metadata."
"Detecting a risk mismatch between actual investment portfolio and its strategic asset allocation","https://scispace.com/papers/detecting-a-risk-mismatch-between-actual-investment-2qsavzz9n7","2012","","","Z.A. Lagerweij","","https://scispace.com/pdf/detecting-a-risk-mismatch-between-actual-investment-2qsavzz9n7.pdf","Yes","","","","","","","","","","","SciSpace Full Text","- **Relevance Score:** 41/100 - **Relevance Tag:** Marginally Relevant - **Reasoning:** Uses EVT to model tail risk and defines VaR/CVaR, but lacks bootstrap techniques, comparative analysis, domain application, theoretical proofs, or simulation results.","","Not available in metadata."
"A More Robust t-Test","http://arxiv.org/abs/2007.07065v1","2020","Preprint","","Ulrich K. Mueller","","http://arxiv.org/pdf/2007.07065v1","Yes","","","","","","","http://arxiv.org/abs/2007.07065v1","2020-07-14T14:42:27Z","econ.EM","econ.EM, math.ST, stat.TH, 62F35","arXiv","- **Relevance Score:** 37/100 - **Relevance Tag:** Marginally Relevant - **Reasoning:** Uses EVT to model extreme observations for a robust t-test; no bootstrap within EVT or tail‑risk focus; includes simulation evidence on test performance.","Standard inference about a scalar parameter estimated via GMM amounts to applying a t-test to a particular set of observations. If the number of observations is not very large, then moderately heavy tails can lead to poor behavior of the t-test. This is a particular problem under clustering, since the number of observations then corresponds to the number of clusters, and heterogeneity in cluster sizes induces a form of heavy tails. This paper combines extreme value theory for the smallest and largest observations with a normal approximation for the average of the remaining observations to construct a more robust alternative to the t-test. The new test is found to control size much more successfully in small samples compared to existing methods. Analytical results in the canonical inference for the mean problem demonstrate that the new test provides a refinement over the full sample t-test under more than two but less than three moments, while the bootstrapped t-test does not.","The new t-test, constructed by combining extreme value theory for the smallest and largest observations with a normal approximation for the average of remaining observations, is found to control size much more successfully in small samples compared to existing methods. Analytical results demonstrate this new test provides a refinement over the full sample t-test under more than two but less than three moments, a benefit not seen with the bootstrapped t-test. This addresses the poor behavior of standard t-tests under moderately heavy tails and clustering, where the number of observations corresponds to the number of clusters and heterogeneity induces heavy tails."
"Introduction to Extreme Value Theory: Applications to Risk Analysis and Management","https://scispace.com/papers/introduction-to-extreme-value-theory-applications-to-risk-7pm7rf9y5g","2019","Book Chapter","","Marie Kratz","10.1007/978-3-030-04161-8_51","","No","","","","","","","","","","","SciSpace","- **Relevance Score:** 35/100 - **Relevance Tag:** Marginally Relevant - **Reasoning:** Provides a comprehensive overview of EVT and threshold selection for GPD fitting, but lacks bootstrap techniques, tail‑risk estimation, comparative analysis, domain application, theoretical proofs, or simulation results.","We present an overview of Univariate Extreme Value Theory (EVT) providing standard and new tools to model the tails of distributions. One of the main issues in the statistical literature of extremes concerns the tail index estimation, which governs the probability of extreme occurrences. This estimation relies heavily on the determination of a threshold above which a Generalized Pareto Distribution (GPD) can be fitted. Approaches to this estimation may be classified into two classes, one qualified as ‘supervised’, using standard Peak Over Threshold (POT) methods, in which the threshold to estimate the tail is chosen graphically according to the problem, the other class collects unsupervised methods, where the threshold is algorithmically determined.","The paper presents an overview of Univariate Extreme Value Theory (EVT), offering standard and new tools to model distribution tails. A key finding is that tail index estimation, crucial for extreme occurrences, relies heavily on determining a threshold for Generalized Pareto Distribution (GPD) fitting. Approaches to this threshold determination are classified into 'supervised' methods, using standard Peak Over Threshold (POT) where the threshold is chosen graphically, and 'unsupervised' methods, where it is algorithmically determined. The abstract outlines the theoretical framework and methodological classifications for EVT applications in risk analysis."
"Robust Inference of Risks of Large Portfolios","http://arxiv.org/abs/1501.02382v1","2015","Preprint","","Jianqing Fan
Fang Han
Han Liu
Byron Vickers","","http://arxiv.org/pdf/1501.02382v1","Yes","","","","","","","http://arxiv.org/abs/1501.02382v1","2015-01-10T18:49:32Z","math.ST","math.ST, q-fin.PM, stat.TH","arXiv","- **Relevance Score:** 31/100 - **Relevance Tag:** Marginally Relevant - **Reasoning:** Robust H‑CLUB uses bootstrap for portfolio risk, offers theoretical guarantees and simulations, compares to H‑CLUB, applied to finance; lacks explicit EVT framework.","We propose a bootstrap-based robust high-confidence level upper bound (Robust H-CLUB) for assessing the risks of large portfolios. The proposed approach exploits rank-based and quantile-based estimators, and can be viewed as a robust extension of the H-CLUB method (Fan et al., 2015). Such an extension allows us to handle possibly misspecified models and heavy-tailed data. Under mixing conditions, we analyze the proposed approach and demonstrate its advantage over the H-CLUB. We further provide thorough numerical results to back up the developed theory. We also apply the proposed method to analyze a stock market dataset.","The paper analyzes a bootstrap-based Robust H-CLUB method, demonstrating its advantage over the H-CLUB method under mixing conditions. It provides thorough numerical results to support the developed theory. The proposed approach is also applied to analyze a stock market dataset. The method is designed to handle possibly misspecified models and heavy-tailed data, offering a robust extension for assessing risks of large portfolios."
"Conditional Extremes in Asymmetric Financial Markets","https://scispace.com/papers/conditional-extremes-in-asymmetric-financial-markets-4e3qb5uevj","2020","Journal Article","Journal of Business & Economic Statistics","Natalia Nolde
Jinyuan Zhang","10.1080/07350015.2018.1476248","https://scispace.com/pdf/conditional-extremes-in-asymmetric-financial-markets-4e3qb5uevj.pdf","Yes","","","","","","","","","","","SciSpace Full Text","- **Relevance Score:** 31/100 - **Relevance Tag:** Marginally Relevant - **Reasoning:** Uses EVT to model asymmetric conditional extremes in finance; lacks bootstrap techniques and tail‑risk measures, offers limited comparisons and theoretical proofs, no simulation study.","The global financial crisis of 2007–2009 revealed the great extent to which systemic risk can jeopardize the stability of the entire financial system. An effective methodology to quantify s...","The global financial crisis of 2007–2009 highlighted the need for an effective methodology to quantify systemic risk. This paper proposed such a methodology, focusing on conditional extremes in asymmetric financial markets. The research uses Extreme Value Theory (EVT) to model these asymmetric conditional extremes. However, it lacks bootstrap techniques and tail-risk measures, offers limited comparisons, and does not include a simulation study or theoretical proofs."
"Robust value at risk prediction","https://academic.oup.com/jfec/article-abstract/9/2/281/815616","2010","Journal Article","Social Science Research Network","Loriano Mancini
Fabio Trojani
Fabio Trojani","10.2139/SSRN.776124","https://papers.ssrn.com/sol3/Delivery.cfm?abstractid=776124","Yes","87","nya_BoULsT8J","","","","","","","","","SciSpace","- **Relevance Score:** 25/100 - **Relevance Tag:** Marginally Relevant - **Reasoning:** Uses robust bootstrap to improve VaR forecasts from GARCH models; focuses on finance, includes Monte Carlo simulations and compares against RiskMetrics, CAViaR, etc., but does not employ EVT framework.","This paper proposes a robust semiparametric bootstrap method to estimate predictive distributions of GARCH-type models. The method is based on a robust estimation of parametric GARCH models and a robustified resampling scheme for GARCH residuals that controls bootstrap instability due to outlying observations. A Monte Carlo simulation shows that our robust method provides more accurate VaR forecasts than classical methods, often by a large extent, especially for several days ahead horizons and/or in presence of outlying observations. An empirical application confirms the simulation results. The robust procedure outperforms in backtesting several other VaR prediction methods, such as RiskMetrics, CAViaR, Historical Simulation, and classical Filtered Historical Simulation methods. We show empirically that robust estimation reduces tail estimation risk, providing more accurate and more stable VaR prediction intervals over time.","A Monte Carlo simulation demonstrates that the proposed robust method yields more accurate VaR forecasts than classical methods, particularly for longer horizons or in the presence of outliers. An empirical application confirms these simulation results. The robust procedure outperforms RiskMetrics, CAViaR, Historical Simulation, and classical Filtered Historical Simulation methods in backtesting. Empirically, robust estimation reduces tail estimation risk, leading to more accurate and stable VaR prediction intervals over time."
"Extreme returns, tail estimation, and value-at-risk","https://www.fmg.ac.uk/sites/default/files/2020-11/dp273.pdf","1997","Posted Content","Research Papers in Economics","Jon Danielsson","","https://www.fmg.ac.uk/sites/default/files/2020-11/dp273.pdf","Yes","72","86H8zDulAaYJ","","","","","","","","","SciSpace","- **Relevance Score:** 22/100 - **Relevance Tag:** Not Relevant - **Reasoning:** Compares historical simulation, RiskMetrics, and a tail‑estimator for VaR in US stock returns; uses finance data; lacks bootstrap and EVT theory; no simulations or proofs.","Accurate prediction of extreme events are of primary importance in many financial applications. The properties of historical simulation and Risk Metrics techniques for computing Valu-at Risk (VaR) are compared with a method which involves modelling the tails of financial returns explicitly with a tail estimator. The methods are compared using a sample of U.S. stock returns. For predictions of low probability worst outcomes, RiskMetrics type analysis underpredicts while historical simulation overpredicts. However, the estimates obtained from applying the tail estimator are more accurate in the VaR prediction. This implies that capital requirements can be lower by doing VaR with the tail estimator.","For predictions of low probability worst outcomes, RiskMetrics analysis underpredicts, while historical simulation overpredicts. Estimates from applying the tail estimator are more accurate in VaR prediction compared to historical simulation and RiskMetrics techniques. This improved accuracy implies that capital requirements can be lower when using the tail estimator for VaR. The methods were compared using a sample of U.S. stock returns."
