"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","TL;DR"
"Risk-Averse Action Selection Using Extreme Value Theory Estimates of the CVaR.","https://scispace.com/paper/risk-averse-action-selection-using-extreme-value-theory-1gmhkm5xcp","2019","Posted Content","arXiv: Machine Learning","Dylan Troop
Frédéric Godin
Jia Yuan Yu","","https://scispace.compdf/risk-averse-action-selection-using-extreme-value-theory-1gmhkm5xcp.pdf","In a wide variety of sequential decision making problems, it can be important to estimate the impact of rare events in order to minimize risk exposure. A popular risk measure is the conditional value-at-risk (CVaR), which is commonly estimated by averaging observations that occur beyond a quantile at a given confidence level. When this confidence level is very high, this estimation method can exhibit high variance due to the limited number of samples above the corresponding quantile. To mitigate this problem, extreme value theory can be used to derive an estimator for the CVaR that uses extrapolation beyond available samples. This estimator requires the selection of a threshold parameter to work well, which is a difficult challenge that has been widely studied in the extreme value theory literature. In this paper, we present an estimation procedure for the CVaR that combines extreme value theory and a recently introduced method of automated threshold selection by \cite{bader2018automated}. Under appropriate conditions, we estimate the tail risk using a generalized Pareto distribution. We compare empirically this estimation procedure with the commonly used method of sample averaging, and show an improvement in performance for some distributions. We finally show how the estimation procedure can be used in reinforcement learning by applying our method to the multi-arm bandit problem where the goal is to avoid catastrophic risk.","This work presents an estimation procedure for the Conditional Value-at-Risk that combines extreme value theory and a recently introduced method of automated threshold selection, and estimates the tail risk using a generalized Pareto distribution."
"Extreme value theory in finance: a survey","https://scispace.com/paper/extreme-value-theory-in-finance-a-survey-v1z0ix6pts","2014","Journal Article","Journal of Economic Surveys","Marco Rocco","10.1111/J.1467-6419.2012.00744.X","https://scispace.com/pdf/extreme-value-theory-in-finance-a-survey-v1z0ix6pts.pdf","Extreme value theory is concerned with the study of the asymptotic distribution of extreme events, that is to say events which are rare in frequency and huge in magnitude with respect to the majority of observations. Statistical methods derived from it have been employed increasingly in finance, especially for risk measurement. This paper surveys some of those main applications, namely for testing different distributional assumptions for the data, for Value‐at‐Risk and Expected Shortfall calculations, for asset allocation under safety‐first type constraints, and for the study of contagion and dependence across markets under conditions of stress.","In this paper, the authors survey some of the main applications of extreme value theory in finance, namely for testing different distributional assumptions for the data, for value at risk and expected shortfall calculations, for asset allocation under safety-first type constraints, and for the study of contagion and dependence across markets under conditions of stress."
"Extreme value theory for finance: a survey","https://scispace.com/paper/extreme-value-theory-for-finance-a-survey-41husvitn7","2011","Posted Content","Research Papers in Economics","Marco Rocco","","","Extreme value theory is concerned with the study of the asymptotical distribution of extreme events, that is to say events which are rare in frequency and huge with respect to the majority of observations. Statistical methods derived from this theory have been increasingly employed in finance, especially in the context of risk measurement. The aim of the present study is twofold. The first part delivers a critical review of the theoretical underpinnings of extreme value theory. The second part provides a survey of some major applications of extreme value theory to finance, namely its use to test different distributional assumptions for the data, Value-at-Risk and Expected Shortfall calculations, asset allocation under safety-first type constraints and the study of contagion and dependence across markets under stress conditions.","In this paper, the authors provide a critical review of the theoretical underpinnings of extreme value theory and provide a survey of some major applications of Extreme Value theory to finance, namely its use to test different distributional assumptions for the data, value-at-risk and expected shortfall calculations, asset allocation under safety-first type constraints and the study of contagion and dependence across markets under stress conditions."
"Efficient Risk Estimation Using Extreme Value Theory and Simulation Metamodeling","https://scispace.com/paper/efficient-risk-estimation-using-extreme-value-theory-and-23xqkfxw6f","2020","Proceedings Article","Winter Simulation Conference","Joseph J. Kennedy
Armin Khayyer
Alexander Vinel
Alice E. Smith","10.1109/WSC48552.2020.9384101","","This paper considers a new approach for constructing metamodels for capturing tail behavior in stochastic systems, e.g., simulation outputs. Specifically, we are concerned with the problem of global estimation of the conditional value-at-risk (CVaR) surface, given (stochastic) responses from a collection of design points. The approach combines stochastic kriging, which has previously been shown to work well for metamodeling of discrete-event simulation output, with extreme value theory, which is a powerful statistical tool for estimating tail behavior. We present the general methodology and promising results of preliminary computational experiments.","In this article, a new approach for constructing metamodels for capturing tail behavior in stochastic systems, e.g., simulation outputs, is proposed, where the problem of global estimation of the conditional value-at-risk (CVaR) surface, given (stochastic) responses from a collection of design points is considered."
"Fat-Tailed Models for Risk Estimation","https://scispace.com/paper/fat-tailed-models-for-risk-estimation-2zbxld2jgb","2010","Posted Content","Social Science Research Network","Stoyan V. Stoyanov
Svetlozar T. Rachev
Boryana Racheva-Iotova
Frank J. Fabozzi","","","In the post-crisis era, financial institutions seem to be more aware of the risks posed by extreme events. Even though there are attempts to adapt methodologies drawing from the vast academic literature on the topic, there is also skepticism that fat-tailed models are needed. In this paper, we address the common criticism and discuss three popular methods for extreme risk modeling based on full distribution modeling and and extreme value theory.","In this paper, the authors discuss three popular methods for extreme risk modeling based on full distribution modeling and and extreme value theory, and address the common criticism that fat-tailed models are needed."
"An Application of Extreme Value Theory for Measuring Risk","https://scispace.com/paper/an-application-of-extreme-value-theory-for-measuring-risk-2hu7kb3ox8","2003","","","Manfred Gilli
Evis Kellezi","","https://scispace.com/pdf/an-application-of-extreme-value-theory-for-measuring-risk-2hu7kb3ox8.pdf","Many Þelds of modern science and engineering have to deal with events which are rare but have signiÞcant consequences. Extreme value theory is considered to provide the basis for the statistical modelling of such extremes. The potential of extreme value theory applied to Þnancial problems has only been recognized recently. This paper aims at introducing the fundamentals of extreme value theory as well as practical aspects for estimating and assessing statistical models for tail-related risk measures.","In this article, the authors introduce the fundamentals of extreme value theory as well as practical aspects for estimating and assessing statistical models for tail-related risk measures, and propose a statistical model for tail related risk measures."
"Fat-Tailed Models for Risk Estimation","https://scispace.com/paper/fat-tailed-models-for-risk-estimation-4ublftpfav","2011","Journal Article","The Journal of Portfolio Management","Stoyan V. Stoyanov
Svetlozar T. Rachev
Boryana Racheva-Iotova
Frank J. Fabozzi","10.3905/JPM.2011.37.2.107","https://scispace.com/pdf/fat-tailed-models-for-risk-estimation-4ublftpfav.pdf","In the post-crisis era, financial institutions seem to be more aware of the risks posed by extreme events. Even though there are attempts to adapt methodologies drawing from the vast academic literature on the topic, there is also skepticism that fat-tailed models are needed. In this article, the authors address the common criticism and discuss three popular methods for extreme risk modeling based on full distribution modeling and extreme value theory.","In this paper, the authors address the common criticism and discuss three popular methods for extreme risk modeling based on full distribution modeling and extreme value theory, and discuss the benefits and drawbacks of these methods."
"Weather Risks, Ratemaking, and Modeling the Tail Distribution: An Application of Extreme Value Theory","https://scispace.com/paper/weather-risks-ratemaking-and-modeling-the-tail-distribution-ym61147fs3","2011","Journal Article","International Journal of Ecological Economics and Statistics","Jianqiang Hao
Arne Bathke
Jerry R.Skees
Hongying Dai","","","Economic analysis of weather risk often depends on accurate assessment of the probability (P) of tail quantiles (Q) and extreme value theory can provide a promising estimation of the tail part risk In this article, we apply statistical techniques to quantify weather tail risk and compare the results from standard statistical distributions with extreme value models for risk estimation and premium setting We demonstrate that extreme value models can provide more statistically robust estimation in modeling weather tail risk and premium ratemaking of weather-based contingent claims Rainfall data across selected regions in India during the 1871–2001 period is used in the empirical analysis","In this paper, the authors apply statistical techniques to quantify weather tail risk and compare the results from standard statistical distributions with extreme value models for risk estimation and premium setting and demonstrate that extreme value model can provide more statistically robust estimation in modeling weather tail part risk and premium ratemaking of weather-based contingent claims."
"Estimation of extreme quantiles for functions of dependent random variables","https://scispace.com/paper/estimation-of-extreme-quantiles-for-functions-of-dependent-485v67r9zg","2015","Journal Article","Journal of The Royal Statistical Society Series B-statistical Methodology","Jinguo Gong
Yadong Li
Liang Peng
Qiwei Yao
Qiwei Yao","10.1111/RSSB.12103","https://scispace.com/pdf/estimation-of-extreme-quantiles-for-functions-of-dependent-485v67r9zg.pdf","We propose a new method for estimating the extreme quantiles for a function of several dependent random variables. In contrast with the conventional approach based on extreme value theory, we do not impose the condition that the tail of the underlying distribution admits an approximate parametric form, and, furthermore, our estimation makes use of the full observed data. The method proposed is semiparametric as no parametric forms are assumed on the marginal distributions. But we select appropriate bivariate copulas to model the joint dependence structure by taking advantage of the recent development in constructing large dimensional vine copulas. Consequently a sample quantile resulting from a large bootstrap sample drawn from the fitted joint distribution is taken as the estimator for the extreme quantile. This estimator is proved to be consistent under the regularity conditions on the closeness between a quantile set and its truncated set, and the empirical approximation for the truncated set. The simulation results lend further support to the reliable and robust performance of the method proposed. The method is further illustrated by a real world example in backtesting financial risk models.","In this article, a new method for estimating the extreme quantiles for a function of several dependent random variables is proposed, which does not impose the condition that the tail of the underlying distribution admits an approximate parametric form, and furthermore makes use of the full observed data."
"Estimation of extreme quantiles for functions of dependent random variables","https://scispace.com/paper/estimation-of-extreme-quantiles-for-functions-of-dependent-1y4xzmfzdy","2015","Journal Article","Journal of the Royal Statistical Society","Jinguo Gong
Yadong Li
Liang Peng
Qiwei Yao","","","We propose a new method for estimating the extreme quantiles for a function of several dependent random variables. In contrast with the conventional approach based on extreme value theory, we do not impose the condition that the tail of the underlying distribution admits an approximate parametric form, and, furthermore, our estimation makes use of the full observed data. The method proposed is semiparametric as no parametric forms are assumed on the marginal distributions. But we select appropriate bivariate copulas to model the joint dependence structure by taking advantage of the recent development in constructing large dimensional vine copulas. Consequently a sample quantile resulting from a large bootstrap sample drawn from the fitted joint distribution is taken as the estimator for the extreme quantile. This estimator is proved to be consistent under the regularity conditions on the closeness between a quantile set and its truncated set, and the empirical approximation for the truncated set. The simulation results lend further support to the reliable and robust performance of the method proposed. The method is further illustrated by a real world example in backtesting financial risk models.","A sample quantile resulting from a large bootstrap sample drawn from the fitted joint distribution is taken as the estimator for the extreme quantile and is proved to be consistent under the regularity conditions on the closeness between a quantile set and its truncated set, and the empirical approximation for the truncation set."
"Dependent bootstrapping for value-at-risk and expected shortfall","https://scispace.com/paper/dependent-bootstrapping-for-value-at-risk-and-expected-47y7mhgw9c","2017","Journal Article","Risk Management","Ian Laker
Chun-Kai Huang
Allan E. Clark","10.1057/S41283-017-0023-Y","","Estimation in extreme financial risk is often faced with challenges such as the need for adequate distributional assumptions, considerations for data dependencies, and the lack of tail information. Bootstrapping provides an alternative that overcomes some of these challenges. It does not assume a distributional form and asymptotically replicates the empirical density for resampled data. Moreover, advanced bootstrapping can cater for dependencies and stationarity in the data. In this paper, we evaluate the use of dependent bootstrapping, both for the original financial time series and for its GARCH innovations (under the Gaussian and Student t noise assumptions), in forecasting value-at-risk and expected shortfall. We also assess the effect of using different window sizes for these procedures. The two datasets used are daily returns of the S&P500 from NYSE and the ALSI from JSE.","In this article, the authors evaluate the use of dependent bootstrapping, both for the original financial time series and for its GARCH innovations under the Gaussian and Student t noise assumptions, in forecasting value-at-risk and expected shortfall."
"Tail Risk Equivalent Level Transition and Its Application for Estimating
  Extreme $L_p$-quantiles","https://scispace.com/paper/tail-risk-equivalent-level-transition-and-its-application-dbtl1ts2nt2g","2024","Journal Article","","Quanlin Zhong
Yanxi Hou","10.48550/arxiv.2412.09872","https://scispace.compdf/tail-risk-equivalent-level-transition-and-its-application-dbtl1ts2nt2g.pdf","$L_p$-quantile has recently been receiving growing attention in risk management since it has desirable properties as a risk measure and is a generalization of two widely applied risk measures, Value-at-Risk and Expectile. The statistical methodology for $L_p$-quantile is not only feasible but also straightforward to implement as it represents a specific form of M-quantile using $p$-power loss function. In this paper, we introduce the concept of Tail Risk Equivalent Level Transition (TRELT) to capture changes in tail risk when we make a risk transition between two $L_p$-quantiles. TRELT is motivated by PELVE in Li and Wang (2023) but for tail risk. As it remains unknown in theory how this transition works, we investigate the existence, uniqueness, and asymptotic properties of TRELT (as well as dual TRELT) for $L_p$-quantiles. In addition, we study the inference methods for TRELT and extreme $L_p$-quantiles by using this risk transition, which turns out to be a novel extrapolation method in extreme value theory. The asymptotic properties of the proposed estimators are established, and both simulation studies and real data analysis are conducted to demonstrate their empirical performance. ","This paper introduces Tail Risk Equivalent Level Transition (TRELT) to capture changes in tail risk between $L_p$-quantiles, a generalization of Value-at-Risk and Expectile, and investigates its existence, uniqueness, and asymptotic properties for risk management applications."
"Estimation of Value-at-Risk and Expected Shortfall based on Nonlinear Models of Return Dynamics and Extreme Value Theory","https://scispace.com/paper/estimation-of-value-at-risk-and-expected-shortfall-based-on-3hyrhqtvpr","2006","Journal Article","Studies in Nonlinear Dynamics and Econometrics","Carlos Martins-Filho
Feng Yao","10.2202/1558-3708.1304","https://scispace.com/pdf/estimation-of-value-at-risk-and-expected-shortfall-based-on-3hyrhqtvpr.pdf","We propose an estimation procedure for value-at-risk (VaR) and expected shortfall (TailVaR) for conditional distributions of a time series of returns on a financial asset. Our approach combines a local polynomial estimator of conditional mean and volatility functions in a conditional heterocedastic autoregressive nonlinear (CHARN) model with Extreme Value Theory for estimating quantiles of the conditional distribution. We investigate the finite sample properties of our method and contrast them with alternatives, including the method recently proposed by McNeil and Frey (2000), in an extensive Monte Carlo study. The method we propose outperforms the estimators currently available in the literature. An evaluation based on backtesting was also performed.","In this paper, an estimation procedure for value-at-risk (VaR) and expected shortfall (Tail VaR) for conditional distributions of a time series of returns on a financial asset is proposed."
"EVIboost for the Estimation of Extreme Value Index under Heterogeneous
  Extremes","https://scispace.com/paper/eviboost-for-the-estimation-of-extreme-value-index-under-2s5qia0g","2022","Posted Content","","","10.48550/arxiv.2205.14512","https://scispace.com/pdf/eviboost-for-the-estimation-of-extreme-value-index-under-2s5qia0g.pdf","Modeling heterogeneity on heavy-tailed distributions under a regression framework is challenging, and classical statistical methodologies usually place conditions on the distribution models to facilitate the learning procedure. However, these conditions are likely to overlook the complex dependence structure between the heaviness of tails and the covariates. Moreover, data sparsity on tail regions also makes the inference method less stable, leading to largely biased estimates for extreme-related quantities. This paper proposes a gradient boosting algorithm to estimate a functional extreme value index with heterogeneous extremes. Our proposed algorithm is a data-driven procedure that captures complex and dynamic structures in tail distributions. We also conduct extensive simulation studies to show the prediction accuracy of the proposed algorithm. In addition, we apply our method to a real-world data set to illustrate the state-dependent and time-varying properties of heavy-tail phenomena in the financial industry. ","In this paper , a gradient boosting algorithm is proposed to estimate a functional extreme value index with heterogeneous extremes, which is a data-driven procedure that captures complex and dynamic structures in tail distributions."
"EVIboost for the Estimation of Extreme Value Index Under Heterogeneous Extremes","https://scispace.com/paper/eviboost-for-the-estimation-of-extreme-value-index-under-1f5batkx","2022","Journal Article","Journal of data science","Jiaxi Wang
Yanxi Hou
Xingchi Li
Tiandong Wang","10.6339/22-jds1067","","Modeling heterogeneity on heavy-tailed distributions under a regression framework is challenging, yet classical statistical methodologies usually place conditions on the distribution models to facilitate the learning procedure. However, these conditions will likely overlook the complex dependence structure between the heaviness of tails and the covariates. Moreover, data sparsity on tail regions makes the inference method less stable, leading to biased estimates for extreme-related quantities. This paper proposes a gradient boosting algorithm to estimate a functional extreme value index with heterogeneous extremes. Our proposed algorithm is a data-driven procedure capturing complex and dynamic structures in tail distributions. We also conduct extensive simulation studies to show the prediction accuracy of the proposed algorithm. In addition, we apply our method to a real-world data set to illustrate the state-dependent and time-varying properties of heavy-tail phenomena in the financial industry.","In this paper , a gradient boosting algorithm is proposed to estimate a functional extreme value index with heterogeneous extremes, which is a data-driven procedure capturing complex and dynamic structures in tail distributions."
"Bootstrap and Jackknife Methods in Extremal Index Estimation: A Review","https://scispace.com/paper/bootstrap-and-jackknife-methods-in-extremal-index-estimation-pvs6emgv3n","2015","","","M. Manuela Neves","","","This paper presents an overview of some applications of resampling computer intensive methodologies, like the bootstrap and the jackknife, in a reliable estimation of the extremal index. The extremal index, a measure of clustering of extreme events, is a key parameter in extreme value theory in a dependent set-up. Its estimation has been con- sidered by several authors but some difficulties still remain. Most of the semi-parametric estimators of this parameter show the same type of behaviour: nice asymptotic properties, but a high variance for small k , the number of upper order statistics used in the estimation; a high bias for large k and the need for an adequate choice of k . After a brief review of some estimators and their asymptotic properties, two computational procedures, the Block-Bootstrap and Jackknife-After-Bootstrap are ap- plied to improve the extremal index estimation. An adaptive choice of the block size for the resampling is presented. A few results of a simulation study will illustrate the application of that choice.","In this article, an overview of some applications of resampling computer intensive methodologies, like the bootstrap and the jackknife, in reliable estimation of the extremal index is presented."
"Using Conditional Extreme Value Theory to Estimate Value-at-Risk for Daily Currency Exchange Rates","https://scispace.com/paper/using-conditional-extreme-value-theory-to-estimate-value-at-3gfvgc4gr9","2017","Journal Article","Journal of Mathematical Finance","Cyprian Ondieki Omari
Peter N. Mwita
Antony Gichuhi Waititu","10.4236/JMF.2017.74045","https://scispace.com/pdf/using-conditional-extreme-value-theory-to-estimate-value-at-3gfvgc4gr9.pdf","This paper implements different approaches used to compute the one-day Value-at-Risk (VaR) forecast for a portfolio of four currency exchange rates. The concepts and techniques of the conventional methods considered in the study are first reviewed. These approaches have shortcomings and therefore fail to capture the stylized characteristics of financial time series returns such as; non-normality, the phenomenon of volatility clustering and the fat tails exhibited by the return distribution. The GARCH models and its extensions have been widely used in financial econometrics to model the conditional volatility dynamics of financial returns. The paper utilizes a conditional extreme value theory (EVT) based model that combines the GJR-GARCH model that takes into account the asymmetric shocks in time-varying volatility observed in financial return series and EVT focuses on modeling the tail distribution to estimate extreme currency tail risk. The relative out-of-sample forecasting performance of the conditional-EVT model compared to the conventional models in estimating extreme risk is evaluated using the dynamic backtesting procedures. Comparing each of the methods based on the backtesting results, the conditional EVT-based model overwhelmingly outperforms all the conventional models. The overall results demonstrate that the conditional EVT-based model provides more accurate out-of-sample VaR forecasts in estimating the currency tail risk and captures the stylized facts of financial returns.","In this paper, a conditional extreme value theory (EVT) based model that combines the GJR-GARCH model that takes into account the asymmetric shocks in time-varying volatility observed in financial return series and EVT focuses on modeling the tail distribution to estimate extreme currency tail risk is evaluated using the dynamic backtesting procedures."
"Tail risk of hedge funds: an extreme value application","https://scispace.com/paper/tail-risk-of-hedge-funds-an-extreme-value-application-3gjovpl4lz","2007","Dissertation","","Gregor Aleksander Gawron","10.5451/UNIBAS-004384663","","11 Problem description
Investors seek to maximise returns and to minimise risk As risk is man-
ageable but returns are not, these objectives can best be achieved through
risk measurement/management techniques In this regard, the concept of
diversification plays a central role in modern portfolio theory It follows
that investors' welfare can be improved by allocating wealth among a large
number of different assets Ideally, any poorly performing asset can even-
tually be compensated by for positive performance from other assets in the
portfolio To put it differently, the idiosyncratic risk of a single asset can
be diversified away leading to lower portfolio risk and thus a higher risk
adjusted portfolio return Obviously, a necessary condition for risk diversi-
fication to work is that asset returns do not depend on each other Under
the assumption of normally distributed returns, a standard assumption in
finance, risk and dependence can be expressed by volatility and correlation
respectively
Low volatility and low correlation with other assets offers diversification
benefits to investors These two features, together with historically good
performance may explain the increasing attractiveness of hedge funds among
institutional and retail investors in recent years In the last decade the hedge
fund industry has been the fastest growing asset class in the financial sector
Despite the decade-long bull market in the 1990s and liquidity/credit crises

in the late 1990s, hedge fund investing has been gaining popularity among
various types of investors HFR (2007) estimates that the total net assets
in hedge funds are approximately USD 14 trillion as of the fourth quarter
2006
As a result of this growth, an increasing number of studies describing
the various hedge fund characteristics, performance comparison with other
asset classes, and their overall contribution in institutional portfolios has
been produced Some of the early works are the monographs of Lederman
and Klein (1995), Crerend (1998), Jaffer (1998), Lake (1999) as well as the
studies of Ackermann, McEnally, and Ravenscraft (1999) and Fung and
Hsieh (1997) Other monographs such as Jaffer (2003) focus entirely on the
properties of fund of hedge funds
The risk and diversification benefits of hedge funds have been studied
in many different ways Two major events at the end of 1990s; the near
collapse of Long-Term Capital Management and the Asian crisis, have led
regulatory authorities to focus more on studying the risk inherent in hedge
fund strategies Brown, Goetzmann, and Park (1998) examine the involve-
ment of hedge funds in the Asian crisis of 1997-1998, and the Report of the
President's Working Group on Financial Markets (1999) deals extensively
with the Long-Term Capital Management incident in 1998 and highlights
the potential risks of excessive use of leverage The general role played by
hedge funds in financial market dynamics has been studied in Eichengreen,
Mathieson, Sharma, Chadha, Kodres, and Jansen (1998)
The investment risk of hedge funds, their unique risk properties stand
alone as well as in portfolio context have been analysed with standard risk
management tools typically assuming implicitly or explicitly normally dis-
tributed returns For example, Edwards and Liew (1999) show that adding
hedge funds to traditional portfolios increases the Sharpe ratio of those port-
folios Purcell and Crowley (1999) show that hedge funds outperform tra-
ditional assets in times of down markets Diversification benefits of adding
hedge funds are also found in Crerend (1998) and Agarwal and Naik (2000)
as well as in Gehin and Vaissie (2005) In these studies a significant upward
shift of efficient frontier and reduction in risk measures is observed

However, hedge funds pose a challenge to standard risk measures based
on normally distributed returns Recent evidence (see eg Schmidhuber and
Moix 2001, Brooks and Kat 2002) casts doubt on the validity of volatility
and correlation as appropriate risk measures for hedge funds Indeed, the
returns of hedge fund indices are not normally distributed and have exhib-
ited unusual levels of skewness and kurtosis The asymmetric properties of
hedge fund returns are investigated in Anson (2002a), Ineichen and Johansen
(2002), and Ineichen (2002) These characteristics are consistent with the
complex trading strategies used by hedge funds which present option-like
payoffs (see eg Fung and Hsieh 1997, Fung and Hsieh 2001, Mitchel and
Pulvino 2001, Fung and Hsieh 2002c, Agarwal, Fung, Loon, and Naik 2004)
Clearly, volatility and correlation do not provide su±cient information
about risk and dependence when the normality assumption is violated As
a consequence, applying symmetric measures on hedge funds may lead to
erroneous conclusions One potential solution to overcome the problem of
non-normality in hedge fund returns is to apply methods that take the asym-
metry in return distribution into account For instance, Bacmann and Pache
(2004) apply downside deviation, Keating and Shadwick (2002) make use of
the Omega function and Favre and Signer (2002) propose the use of a mod-
ified Value-at-Risk based on Cornish-Fisher expansion
In this thesis, the use of Extreme Value Theory (EVT) is advocated
This area of statistics enables the estimation of tail probabilities regardless
of the underlying distribution of hedge fund returns The fact that it focuses
on the tail returns rather than their means, makes modelling of the whole
time series of returns unnecessary Consequently, the estimation of Value-
at-Risk and Expected Shortfall can be done under fairly general types of
distributions
This thesis contributes to the growing literature on risk associated with
hedge funds in two main directions Firstly, it carefully examines the tail
risk of individual hedge fund strategies and of portfolios built with stocks,
bonds and hedge funds using EVT Consequently, the first objective is to
evaluate the size of return asymmetry in order to quantify a potential ten-
dency for extreme losses among various hedge fund strategies The second
objective follows the first one as it attempts to quantify eventual benefits

of the inclusion of hedge funds in a traditional portfolio (stocks and bonds)
depending on the initial composition of the portfolio and on the type of
hedge funds added Several papers (Lhabitant 2001, Blum, Dacorogna, and
Jaeger 2003, Gupta and Liang 2003) have already used Value-at-Risk derived
from EVT in the context of single funds or hedge fund indices Bacmann
and Gawron (2005) evaluates portfolio risk by allocating fund of hedge funds
only
Secondly, the thesis further measures the dependence between hedge
funds and traditional investments in periods of distressed markets In such
periods, correlation breaks down and investors' ability to diversify dimin-
ishes because the asset dependence is much higher than in periods of market
quiescence For this purpose the main objective is to test explicitly the ex-
istence of asymptotic dependence among hedge funds as well as between
hedge funds and traditional investments","In this regard, the concept of diversification plays a central role in modern portfolio theory as discussed by the authors, and it follows that investors' welfare can be improved by allocating wealth among a large number of different assets."
"Estimation of Extreme Value-at-Risk: An EVT Approach for Quantile GARCH Model","https://scispace.com/paper/estimation-of-extreme-value-at-risk-an-evt-approach-for-4x4spypon5","2014","Journal Article","Social Science Research Network","Yanping Yi
Xingdong Feng
Zhuo Huang","10.2139/SSRN.2423445","","We proposed a method to estimate extreme conditional quantiles by combining quantile GARCH model of Xiao and Koenker (2009) and extreme value theory (EVT) approach. We first estimate the latent volatility process using the information of intermediate quantiles. We then apply EVT to the tail observations to obtain a sound estimate of the likelihood of experiencing an extreme event. Quantile autoregression and EVT together improve efficiency in estimation of extreme quantiles, by borrowing information from neighbor quantiles. Monte Carlo simulation indicates that, the proposed method is promising to provide more accurate estimates for VaR of a financial portfolio, where non-Gaussian tail is present.","In this paper, the authors proposed a method to estimate extreme conditional quantiles by combining quantile GARCH model of Xiao and Koenker (2009) and extreme value theory (EVT) approach."
"Value at Risk Calculations, Extreme Events, and Tail Estimation","https://scispace.com/paper/value-at-risk-calculations-extreme-events-and-tail-1gpyj0a5f0","2000","Journal Article","Journal of Derivatives","Salih N. Neftci","10.3905/JOD.2000.319126","","Value at risk has become a standard approach for estimating and expressing a firm9s exposure to market risk Unlike the traditional risk measure, standard deviation, VaR focuses only on the tail of the distribution of outcomes - the extreme events This makes a lot of sense in theory, but a major problem arises in practice, because empirical returns distributions tend to have tails that look quite different from those of the normal and lognormal distributions that we typically assume in finance Extreme value theory offers an elegant solution Like the familiar central limit theorem, which proves that under general conditions the distribution of the average of n identically distributed random variables will converge to the normal as n grows large, extreme value theory provides similar convergence results for the extreme tails of distributions In this article, Neftci gives a clear and intuitive introduction to extreme value theory and demonstrates how to use it In an example applying it to forecasting the tails of the distributions of interest rate and exchange rate changes, extreme value theory is shown to be much more accurate than the standard value at risk calculated from the normal distribution","In this article, Neftci gives a clear and intuitive introduction to extreme value theory and demonstrates how to use it to forecast the tails of the distributions of interest rate and exchange rate changes."
"Extreme Returns, Tail Estimation, and Value-at-Risk","https://scispace.com/paper/extreme-returns-tail-estimation-and-value-at-risk-22va0jvprp","1997","Posted Content","Research Papers in Economics","Jon Danielsson","","","Accurate prediction of extreme events are of primary importance in many financial applications. The properties of historical simulation and Risk Metrics techniques for computing Valu-at Risk (VaR) are compared with a method which involves modelling the tails of financial returns explicitly with a tail estimator. The methods are compared using a sample of U.S. stock returns. For predictions of low probability worst outcomes, RiskMetrics type analysis underpredicts while historical simulation overpredicts. However, the estimates obtained from applying the tail estimator are more accurate in the VaR prediction. This implies that capital requirements can be lower by doing VaR with the tail estimator.","In this article, the authors compared the properties of historical simulation and risk metrics techniques for computing Valu-at-Risk (VaR) with a method which involves modelling the tails of financial returns explicitly with a tail estimator."
"Applications of Extreme Value Theory for Market Risks Estimation: A Review","https://scispace.com/paper/applications-of-extreme-value-theory-for-market-risks-vxjs0murvd","2016","Journal Article","Social Science Research Network","Nilaish Nilaish","10.2139/SSRN.2756009","","In this paper, we analytically review the applications of Extreme Value Theory for Market Risks Estimation. The mathematical definitions of modelling tails are explained and illustrated using suitable example. The application of EVT is significant to risk measures and educates the managers to understand the consequential trends in broader sense. The end of decade (1998-2008) has been characterized by significant instabilities in financial markets worldwide. It has led to numerous criticisms about the existing risk management systems and motivated the search for more appropriate methodologies capable of coping with rare events that have bad consequences.","In this paper, the authors analytically review the applications of Extreme Value Theory for Market Risks Estimation and the mathematical definitions of modelling tails are explained and illustrated using suitable example, and they conclude that the application of EVT to risk measures and educates the managers to understand the consequential trends in broader sense."
